scenario,n_worlds_per_form,trials,support_original,support_replica,support_both,support_both_and_overlap,support_overlap_and_original_negative,opposes_original,degenerate_original,cover_form0,cover_form1,cover_pooled,mean_width_form0,mean_expected_delta_form0,mean_expected_delta_form1
equality_independent,1200,1000,1000,1000,1000,989,19,0,0,941,948,957,3.48982972501,0,0
equality_shared_world,1200,1000,1000,999,999,987,30,0,0,953,938,945,3.57398641815,0,0
tolerated_two_point_loss,1200,1000,842,836,707,702,626,0,0,944,951,948,3.47743651049,-2,-2
five_point_boundary,1200,1000,1,0,0,0,0,49,0,950,941,948,4.19155314352,-5,-5
six_point_violation,1200,1000,0,0,0,0,0,348,0,950,944,944,4.3075767238,-6,-6
boundary_shared_world,1200,1000,2,1,0,0,0,57,0,955,946,945,4.48640878001,-5,-5
violation_shared_four_world_frame,1200,1000,0,1,0,0,0,391,0,869,869,872,4.63645832932,-6,-6
equality_shared_four_world_frame,1200,1000,998,1000,998,981,20,0,0,938,954,963,3.52264233065,0,0
equality_near_ceiling,1200,1000,211,235,55,55,0,0,789,977,980,956,0.439108171481,0,0
opposite_reader_effects,1200,1000,1000,1000,1000,987,26,0,0,938,937,944,3.45775092072,0.00089447488143,0.00226326278245
one_harmed_form_hidden_by_pool,1200,1000,0,0,0,0,0,754,0,945,950,949,3.14082914606,2,-8
one_percent_absent_at_random,1200,1000,999,1000,999,986,18,0,0,952,944,956,3.49853823731,0,0
