case,n_per_form,trials,observable_pairs,new_interval_compatible,current_point_strata_compatible,held_pairs,original_degenerate_arm,replica_degenerate_arm,original_generic_resolution_guard,invalid_bootstrap_draws,mean_original_form0_width
equal_mid,32,500,500,489,0,0,1,4,4,0,38.3585547237
equal_high,32,500,500,488,0,0,298,281,465,0,19.5695455609
one_form_separated_5pp,32,500,500,490,1,0,2,5,4,0,38.2637561691
both_forms_separated_10pp,32,500,500,458,1,0,1,47,1,0,38.2830768201
opposite_form_shifts_10pp,32,500,500,471,0,0,0,14,6,0,38.4428436798
equal_imbalanced,32,500,500,473,1,0,164,143,2,0,54.8580261114
separated_10pp_imbalanced,32,500,500,456,0,0,139,354,2,0,55.6487850188
equal_near_ceiling,32,500,500,500,378,0,500,500,500,0,0.766658506348
equal_near_floor,32,500,500,500,367,0,500,500,500,0,0.586558789885
equal_shared_frames,32,500,500,482,0,0,80,79,166,0,33.4726026199
separated_10pp_shared_frames,32,500,500,417,1,0,78,214,154,0,34.8442731108
unobservable_arm_sentinel,32,500,0,0,0,500,2,0,2,1000000,38.6396814775
