scenario,n_worlds_per_form,trials,support_original,support_replica,support_both,support_both_and_overlap,support_overlap_and_original_negative,opposes_original,degenerate_original,cover_form0,cover_form1,cover_pooled,mean_width_form0,mean_expected_delta_form0,mean_expected_delta_form1
equality_independent,1024,1000,1000,997,997,990,28,0,0,953,941,937,3.75918484984,0,0
equality_shared_world,1024,1000,999,997,996,985,9,0,0,947,954,962,3.8415637957,0,0
tolerated_two_point_loss,1024,1000,768,722,550,550,458,0,0,949,952,956,3.77103635289,-2,-2
five_point_boundary,1024,1000,3,1,0,0,0,61,0,938,954,940,4.53417048342,-5,-5
six_point_violation,1024,1000,0,0,0,0,0,296,0,952,962,955,4.68076571307,-6,-6
boundary_shared_world,1024,1000,0,0,0,0,0,52,0,950,947,935,4.86804104669,-5,-5
violation_shared_four_world_frame,1024,1000,0,0,0,0,0,356,0,879,858,852,5.02073694514,-6,-6
equality_shared_four_world_frame,1024,1000,997,994,991,978,19,0,0,936,950,946,3.79339282151,0,0
equality_near_ceiling,1024,1000,160,182,27,27,0,0,840,980,983,938,0.470467596096,0,0
opposite_reader_effects,1024,1000,1000,999,999,985,33,0,0,950,949,942,3.7122736621,-0.000572327397974,0.00638696936012
one_harmed_form_hidden_by_pool,1024,1000,0,0,0,0,0,675,0,944,950,949,3.36673537271,2,-8
one_percent_absent_at_random,1024,1000,998,997,995,984,16,0,0,948,950,950,3.79445109155,0,0
